%time,field.header.seq,field.header.stamp,field.header.frame_id,field.hardware_id,field.mcu_uptime,field.connection_uptime,field.drivers_active,field.driver_external_stop_present,field.driver_external_stop_stopped,field.measured_battery,field.measured_12v,field.measured_5v,field.drive_current,field.user_current,field.computer_current,field.total_current,field.total_current_peak,field.total_power_consumed
1598045851657509859,0,1598045851655878018,base_link,0.3.9,5272000000000,0,1,0,0,27.2712650299,11.9728193283,5.02250003815,1.73306953907,0.75313359499,1.0754199028,3.56162309647,-1.0,-1.0
1598045852659438248,0,1598045852656905925,base_link,0.3.9,5273000000000,0,1,0,0,27.2850532532,11.968495369,5.02214193344,1.66682612896,0.788940250874,1.08772134781,3.54348754883,-1.0,-1.0
1598045853661554299,0,1598045853656905925,base_link,0.3.9,5274000000000,0,1,0,0,27.2564964294,11.9659013748,5.02088880539,1.75634419918,0.760294914246,1.20999550819,3.72663450241,-1.0,-1.0
1598045854658497641,0,1598045854656905925,base_link,0.3.9,5275000000000,0,1,0,0,27.2673282623,11.9736843109,5.01766586304,1.79179334641,0.756117403507,1.12684905529,3.67475986481,-1.0,-1.0
1598045855660670547,0,1598045855659464757,base_link,0.3.9,5276000000000,0,1,0,0,27.2347335815,11.9666795731,5.01976060867,1.88525021076,0.758385181427,1.23198997974,3.87562537193,-1.0,-1.0
1598045856657406276,0,1598045856659464757,base_link,0.3.9,5277000000000,0,1,0,0,27.2347335815,11.9701824188,5.02233839035,1.58070981503,0.762144863605,1.5125092268,3.85536384583,-1.0,-1.0
1598045857659903592,0,1598045857661391417,base_link,0.3.9,5278000000000,0,1,0,0,27.217010498,11.9623994827,5.01943874359,2.14145088196,0.750328719616,1.07138848305,3.96316814423,-1.0,-1.0
1598045858662083225,0,1598045858661391417,base_link,0.3.9,5279000000000,0,1,0,0,27.2453689575,11.9627876282,5.01976060867,1.89652955532,0.772349834442,1.10593652725,3.77481603622,-1.0,-1.0
1598045859658147821,0,1598045859661391417,base_link,0.3.9,5280000000000,0,1,0,0,27.2653579712,11.9650363922,5.02070951462,1.76708638668,0.777004718781,1.15871453285,3.7028055191,-1.0,-1.0
1598045860660219041,0,1598045860662654961,base_link,0.3.9,5281000000000,0,1,0,0,27.2594490051,11.9719552994,5.02339506149,1.76708638668,0.77342402935,1.39763092995,3.93814134598,-1.0,-1.0
1598045861661985194,0,1598045861662654961,base_link,0.3.9,5282000000000,0,1,0,0,27.2082443237,11.9732513428,5.02321577072,1.77245748043,0.778198242188,1.65759301186,4.20824861526,-1.0,-1.0
1598045862658567201,0,1598045862657710925,base_link,0.3.9,5283000000000,0,1,0,0,27.2535400391,11.9689283371,5.02124643326,1.81721639633,0.766859412193,1.32530379295,3.90937948227,-1.0,-1.0
1598045863660034199,0,1598045863657710925,base_link,0.3.9,5284000000000,0,1,0,0,27.2545261383,11.9628744125,5.02106761932,1.81900668144,0.756714224815,1.13603818417,3.71175909042,-1.0,-1.0
1598045864661888780,0,1598045864657710925,base_link,0.3.9,5285000000000,0,1,0,0,27.1511325836,11.9667654037,5.01999330521,1.90942001343,0.790730595589,1.88653492928,4.5866856575,-1.0,-1.0
1598045865658106440,0,1598045865659269989,base_link,0.3.9,5286000000000,0,1,0,0,27.2338466644,11.9659013748,5.02339506149,1.73861956596,0.774498224258,1.43687701225,3.94999480247,-1.0,-1.0
1598045866660153444,0,1598045866659269989,base_link,0.3.9,5287000000000,0,1,0,0,27.2108039856,11.9690141678,5.02169418335,2.06571865082,0.768590152264,1.16943013668,4.00373888016,-1.0,-1.0
1598045867662139365,0,1598045867659827879,base_link,0.3.9,5288000000000,0,1,0,0,27.1443367004,11.9670686722,5.02185535431,2.38959503174,0.777720808983,1.12914633751,4.29646205902,-1.0,-1.0
1598045868658001406,0,1598045868659827879,base_link,0.3.9,5289000000000,0,1,0,0,27.2108039856,11.9717378616,5.02169418335,1.64194011688,0.775572359562,1.75087714195,4.16838932037,-1.0,-1.0
1598045869660068756,0,1598045869659827879,base_link,0.3.9,5290000000000,0,1,0,0,27.2446784973,11.9702253342,5.02339506149,1.95865499973,0.796101629734,1.34338545799,4.09814214706,-1.0,-1.0
1598045870662115549,0,1598045870660804219,base_link,0.3.9,5291000000000,0,1,0,0,27.2692966461,11.9728193283,5.02214193344,1.70263338089,0.759698152542,1.22096312046,3.6832947731,-1.0,-1.0
1598045871658163572,0,1598045871660804219,base_link,0.3.9,5292000000000,0,1,0,0,27.1885509491,11.9659013748,5.02106761932,1.94254183769,0.772230446339,1.28750991821,4.00228214264,-1.0,-1.0
1598045872660101816,0,1598045872660804219,base_link,0.3.9,5293000000000,0,1,0,0,27.2279376984,11.9663333893,5.02088880539,1.81900691986,0.775214314461,1.48285210133,4.07707309723,-1.0,-1.0
1598045873662119668,0,1598045873667955739,base_link,0.3.9,5294000000000,0,1,0,0,27.2131690979,11.968495369,5.02070951462,1.91747677326,0.774617612362,1.34783184528,4.03992605209,-1.0,-1.0
1598045874658077252,0,1598045874667955739,base_link,0.3.9,5295000000000,0,1,0,0,27.2624034882,11.9654693604,5.02178382874,1.58267915249,0.780585348606,1.5599219799,3.92318630219,-1.0,-1.0
1598045875660683137,0,1598045875662858183,base_link,0.3.9,5296000000000,0,1,0,0,27.2584648132,11.9728193283,5.02518558502,1.81435191631,0.766859412193,1.20836520195,3.78957653046,-1.0,-1.0
1598045876662388933,0,1598045876662858183,base_link,0.3.9,5297000000000,0,1,0,0,27.2542304993,11.9690141678,5.02330541611,1.71283841133,0.764293313026,1.12047600746,3.59760761261,-1.0,-1.0
1598045877658737929,0,1598045877657909228,base_link,0.3.9,5298000000000,0,1,0,0,27.268409729,11.9701824188,5.02282190323,1.59198904037,0.762682020664,1.11807501316,3.4727461338,-1.0,-1.0
1598045878660088202,0,1598045878657909228,base_link,0.3.9,5299000000000,0,1,0,0,27.2223262787,11.9756298065,5.02507829666,1.7740688324,0.776646673679,1.47916173935,4.02987718582,-1.0,-1.0
1598045879662284710,0,1598045879657909228,base_link,0.3.9,5300000000000,0,1,0,0,27.2639789581,11.9717378616,5.02201652527,1.68383455276,0.759459376335,1.14715397358,3.59044790268,-1.0,-1.0
1598045880658597468,0,1598045880659383647,base_link,0.3.9,5301000000000,0,1,0,0,27.2594490051,11.9710893631,5.02643871307,1.79215145111,0.766262710094,1.15352714062,3.71194124222,-1.0,-1.0
1598045881660307598,0,1598045881659383647,base_link,0.3.9,5302000000000,0,1,0,0,27.2377853394,11.9758462906,5.0237531662,1.77782845497,0.766859412193,1.16316080093,3.70784854889,-1.0,-1.0
1598045882662130774,0,1598045882660164014,base_link,0.3.9,5303000000000,0,1,0,0,27.205291748,11.963306427,5.0237531662,1.72232735157,0.81639200449,1.45187604427,3.99059534073,-1.0,-1.0
1598045883658600647,0,1598045883660164014,base_link,0.3.9,5304000000000,0,1,0,0,27.2111988068,11.9775753021,5.02751302719,1.768876791,0.793117702007,1.65996444225,4.22195911407,-1.0,-1.0
1598045884660379886,0,1598045884660164014,base_link,0.3.9,5305000000000,0,1,0,0,27.2624034882,11.9762783051,5.02393245697,1.67398762703,0.764472305775,1.1397434473,3.57820343971,-1.0,-1.0
1598045885662273660,0,1598045885660407565,base_link,0.3.9,5306000000000,0,1,0,0,27.2555103302,11.9771432877,5.02464818954,1.58446955681,0.766262710094,1.25045716763,3.60118937492,-1.0,-1.0
1598045886658718395,0,1598045886660407565,base_link,0.3.9,5307000000000,0,1,0,0,27.2505874634,11.9723873138,5.0241112709,1.74345374107,0.779869198799,1.17303168774,3.69635462761,-1.0,-1.0
1598045887666500031,0,1598045887660407565,base_link,0.3.9,5308000000000,0,1,0,0,27.205488205,11.9756298065,5.02475547791,2.06249594688,0.762682020664,1.13835036755,3.9635283947,-1.0,-1.0
1598045888662270641,0,1598045888667274470,base_link,0.3.9,5309000000000,0,1,0,0,27.1594047546,11.9729061127,5.02443361282,2.06894111633,0.801353216171,1.8932043314,4.76349878311,-1.0,-1.0
1598045889658142834,0,1598045889667274470,base_link,0.3.9,5310000000000,0,1,0,0,27.1168651581,11.9721279144,5.02330541611,1.95453715324,0.799204826355,2.10022568703,4.85396766663,-1.0,-1.0
1598045890660355590,0,1598045890662009915,base_link,0.3.9,5311000000000,0,1,0,0,27.2348327637,11.9728193283,5.02303695679,1.70084309578,0.763278841972,1.39644515514,3.8605670929,-1.0,-1.0
1598045891662407352,0,1598045891662009915,base_link,0.3.9,5312000000000,0,1,0,0,27.0950031281,11.9667654037,5.02250003815,2.87173914909,0.772230446339,1.25268030167,4.89664983749,-1.0,-1.0
1598045892658577934,0,1598045892662009915,base_link,0.3.9,5313000000000,0,1,0,0,27.1905212402,11.9810342789,5.0259013176,1.67935872078,0.785359621048,1.71924901009,4.18396759033,-1.0,-1.0
1598045893660306120,0,1598045893657489928,base_link,0.3.9,5314000000000,0,1,0,0,27.2348327637,11.9702253342,5.02303695679,1.76708626747,0.769246637821,1.22763264179,3.76396560669,-1.0,-1.0
1598045894662429570,0,1598045894657489928,base_link,0.3.9,5315000000000,0,1,0,0,27.222032547,11.9693603516,5.02178382874,1.72769844532,0.776407897472,1.15145218372,3.65555858612,-1.0,-1.0
1598045895659012220,0,1598045895658083645,base_link,0.3.9,5316000000000,0,1,0,0,27.2446784973,11.9680633545,5.02214193344,1.77603828907,0.762085199356,1.11351013184,3.65163373947,-1.0,-1.0
1598045896660780152,0,1598045896658083645,base_link,0.3.9,5317000000000,0,1,0,0,27.0605392456,11.968495369,5.02178382874,3.96547055244,0.793117702007,1.36564683914,6.1242351532,-1.0,-1.0
1598045897662325269,0,1598045897658083645,base_link,0.3.9,5318000000000,0,1,0,0,27.104850769,11.9744625092,5.02185535431,3.43051075935,0.792759656906,1.30815577507,5.53142642975,-1.0,-1.0
1598045898658435250,0,1598045898659193773,base_link,0.3.9,5319000000000,0,1,0,0,27.1425647736,11.9666795731,5.01976060867,3.4240655899,0.771812677383,1.24706315994,5.44294166565,-1.0,-1.0
1598045899660534918,0,1598045899659193773,base_link,0.3.9,5320000000000,0,1,0,0,27.1549739838,11.9639558792,5.02266120911,3.47723937035,0.824448525906,1.12874627113,5.43043422699,-1.0,-1.0
1598045900668220400,0,1598045900660144813,base_link,0.3.9,5321000000000,0,1,0,0,27.0725536346,11.9643449783,5.02104997635,2.08344316483,0.812632322311,2.35326647758,5.24934196472,-1.0,-1.0
1598045901659091774,0,1598045901660144813,base_link,0.3.9,5322000000000,0,1,0,0,27.199382782,11.9728193283,5.02321577072,2.2504837513,0.75313359499,1.11528861523,4.11890602112,-1.0,-1.0
