%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1602701740743990426,2220,1602701740743990426,,30.2879436236,-97.7376862584,-0.798190116882
1602701740784268012,2221,1602701740784268012,,30.2879432488,-97.7376859796,-0.815686702728
1602701740824723948,2222,1602701740824723948,,30.2879432488,-97.7376859796,-0.815686702728
1602701740885244983,2223,1602701740885244983,,30.2879428705,-97.7376857093,-0.832674026489
1602701740925517863,2224,1602701740925517863,,30.2879424881,-97.7376854459,-0.84966135025
1602701740966930019,2225,1602701740966930019,,30.2879421013,-97.7376851903,-0.86681842804
1602701741006890878,2226,1602701741006890878,,30.2879417111,-97.737684942,-0.883975028992
1602701741027275857,2227,1602701741027275857,,30.287941672,-97.7376850528,-0.884315788746
1602701741047058893,2228,1602701741047058893,,30.2879412785,-97.7376848127,-0.901472866535
1602701741087473466,2229,1602701741087473466,,30.287940881,-97.7376845808,-0.918629944324
1602701741128005485,2230,1602701741128005485,,30.287940881,-97.7376845808,-0.918629944324
1602701741168469942,2231,1602701741168469942,,30.2879404811,-97.7376843541,-0.932729542255
1602701741228646184,2232,1602701741228646184,,30.2879400795,-97.7376841336,-0.945130169392
1602701741270397604,2233,1602701741270397604,,30.2879396755,-97.7376839192,-0.958210289478
1602701741310318380,2234,1602701741310318380,,30.2879392679,-97.7376837093,-0.970270931721
1602701741350446189,2235,1602701741350446189,,30.2879388521,-97.7376836128,-0.983326017857
1602701741370480438,2236,1602701741370480438,,30.2879388521,-97.7376836128,-0.983326017857
1602701741390653173,2237,1602701741390653173,,30.287938441,-97.7376834157,-0.995896399021
1602701741431030679,2238,1602701741431030679,,30.287938441,-97.7376834157,-0.995896399021
1602701741471370741,2239,1602701741471370741,,30.2879380274,-97.7376832244,-1.00829696655
1602701741511790584,2240,1602701741511790584,,30.2879376109,-97.7376830394,-1.02137708664
1602701741573719116,2241,1602701741573719116,,30.2879371913,-97.7376828595,-1.0339474678
1602701741613682253,2242,1602701741613682253,,30.287936771,-97.7376826863,-1.04668807983
1602701741653751454,2243,1602701741653751454,,30.2879363502,-97.7376825206,-1.05976819992
1602701741673920263,2244,1602701741673920263,,30.2879363301,-97.7376826021,-1.06064319611
1602701741694085043,2245,1602701741694085043,,30.2879359078,-97.7376824427,-1.07304382324
1602701741734099298,2246,1602701741734099298,,30.2879359078,-97.7376824427,-1.07304382324
1602701741774284462,2247,1602701741774284462,,30.2879354828,-97.7376822885,-1.08544445038
1602701741814530120,2248,1602701741814530120,,30.2879350559,-97.7376821415,-1.09818458557
1602701741876342240,2249,1602701741876342240,,30.2879346268,-97.7376820004,-1.11126470566
1602701741916088339,2250,1602701741916088339,,30.2879341966,-97.7376818661,-1.12451457977
1602701741956386309,2251,1602701741956386309,,30.2879336852,-97.737681934,-1.13817536831
1602701741976427773,2252,1602701741976427773,,30.2879332529,-97.7376818133,-1.15142571926
1602701742036659230,2253,1602701742036659230,,30.2879332529,-97.7376818133,-1.15142571926
1602701742077072982,2254,1602701742077072982,,30.2879328146,-97.7376816957,-1.16127812862
1602701742117383965,2255,1602701742117383965,,30.2879323786,-97.7376815821,-1.16977155209
1602701742158598280,2256,1602701742158598280,,30.2879319431,-97.7376814734,-1.17792546749
1602701742198626928,2257,1602701742198626928,,30.2879319431,-97.7376814734,-1.17792546749
1602701742259078263,2258,1602701742259078263,,30.2879309481,-97.7376811726,-1.19596385956
1602701742299413931,2259,1602701742299413931,,30.2879305103,-97.737681078,-1.20496702194
1602701742319803553,2260,1602701742319803553,,30.2879305103,-97.737681078,-1.20496702194
1602701742359920074,2261,1602701742359920074,,30.2879300742,-97.7376809881,-1.2138004303
1602701742420259460,2262,1602701742420259460,,30.2879296334,-97.7376809011,-1.22212409973
1602701742462827770,2263,1602701742462827770,,30.2879291959,-97.73768082,-1.23095750809
1602701742501633850,2264,1602701742501633850,,30.2879291959,-97.73768082,-1.23095750809
1602701742541743071,2265,1602701742541743071,,30.2879284083,-97.7376809908,-1.24115633965
1602701742581993287,2266,1602701742581993287,,30.2879275239,-97.7376808584,-1.25763392448
1602701742642862102,2267,1602701742642862102,,30.2879270832,-97.7376807942,-1.26578783989
1602701742662579794,2268,1602701742662579794,,30.2879270832,-97.7376807942,-1.26578783989
1602701742703257849,2269,1602701742703257849,,30.2879266405,-97.7376807346,-1.27428126335
1602701742743377837,2270,1602701742743377837,,30.287926197,-97.7376806791,-1.28260493279
1602701742804653576,2271,1602701742804653576,,30.287926197,-97.7376806791,-1.28260493279
1602701742845135437,2272,1602701742845135437,,30.28792648,-97.7376807066,-1.29791486263
1602701742885520618,2273,1602701742885520618,,30.2879255905,-97.737680633,-1.31473195553
1602701742925872394,2274,1602701742925872394,,30.2879255905,-97.737680633,-1.31473195553
1602701742945522641,2275,1602701742945522641,,30.2879251463,-97.7376805979,-1.32305562496
1602701742965929222,2276,1602701742965929222,,30.2879251463,-97.7376805979,-1.32305562496
1602701743006106575,2277,1602701743006106575,,30.2879247015,-97.737680564,-1.32679307461
1602701743046143495,2278,1602701743046143495,,30.2879242545,-97.7376805318,-1.33036029339
1602701743087932053,2279,1602701743087932053,,30.2879242545,-97.7376805318,-1.33036029339
1602701743147727300,2280,1602701743147727300,,30.2879243507,-97.737680293,-1.33788585663
1602701743188159483,2281,1602701743188159483,,30.2879239056,-97.7376802668,-1.34196281433
1602701743228420560,2282,1602701743228420560,,30.2879234611,-97.737680243,-1.34603977203
1602701743248409848,2283,1602701743248409848,,30.2879230153,-97.7376802207,-1.34994697571
1602701743268812428,2284,1602701743268812428,,30.2879230153,-97.7376802207,-1.34994697571
1602701743308939201,2285,1602701743308939201,,30.2879225709,-97.7376802016,-1.35436344147
1602701743348947856,2286,1602701743348947856,,30.2879221248,-97.7376801833,-1.35827064514
1602701743390621487,2287,1602701743390621487,,30.2879221248,-97.7376801833,-1.35827064514
1602701743450463703,2288,1602701743450463703,,30.2879213979,-97.7376806734,-1.36621630192
1602701743490748062,2289,1602701743490748062,,30.2879205049,-97.7376806564,-1.37403070927
1602701743531295581,2290,1602701743531295581,,30.2879205049,-97.7376806564,-1.37403070927
1602701743551305924,2291,1602701743551305924,,30.2879200591,-97.7376806493,-1.37844717503
1602701743571271536,2292,1602701743571271536,,30.2879200591,-97.7376806493,-1.37844717503
1602701743611889554,2293,1602701743611889554,,30.2879196143,-97.7376806443,-1.38252413273
1602701743652087691,2294,1602701743652087691,,30.2879191681,-97.7376806409,-1.3864313364
1602701743713288189,2295,1602701743713288189,,30.2879191681,-97.7376806409,-1.3864313364
1602701743753354574,2296,1602701743753354574,,30.2879187222,-97.7376806402,-1.39067804813
1602701743793403876,2297,1602701743793403876,,30.2879179062,-97.7376806068,-1.40092802048
1602701743833460658,2298,1602701743833460658,,30.2879179062,-97.7376806068,-1.40092802048
1602701743853613020,2299,1602701743853613020,,30.2879174628,-97.737680613,-1.40483522415
1602701743873980153,2300,1602701743873980153,,30.2879174628,-97.737680613,-1.40483522415
1602701743914265135,2301,1602701743914265135,,30.2879170179,-97.7376806217,-1.40891218185
1602701743954501983,2302,1602701743954501983,,30.2879165709,-97.7376806323,-1.41315889359
1602701743996149360,2303,1602701743996149360,,30.2879165709,-97.7376806323,-1.41315889359
1602701744036140394,2304,1602701744036140394,,30.287916126,-97.7376806449,-1.41706562042
1602701744076427185,2305,1602701744076427185,,30.2879157524,-97.7376806034,-1.42403197289
1602701744136685672,2306,1602701744136685672,,30.2879153072,-97.7376806217,-1.42827868462
1602701744177018696,2307,1602701744177018696,,30.2879144158,-97.7376806687,-1.43609309196
1602701744197006729,2308,1602701744197006729,,30.2879144158,-97.7376806687,-1.43609309196
1602701744257314129,2309,1602701744257314129,,30.287913971,-97.7376806934,-1.4403398037
1602701744298845324,2310,1602701744298845324,,30.287913971,-97.7376806934,-1.4403398037
1602701744339043634,2311,1602701744339043634,,30.2879137506,-97.7376804819,-1.44281208515
1602701744379294410,2312,1602701744379294410,,30.2879133061,-97.7376805063,-1.4424725771
1602701744419455651,2313,1602701744419455651,,30.2879128617,-97.7376805309,-1.4424725771
1602701744459942654,2314,1602701744459942654,,30.287912416,-97.7376805559,-1.44264233112
1602701744520418053,2315,1602701744520418053,,30.2879119736,-97.7376805808,-1.44298183918
1602701744540540790,2316,1602701744540540790,,30.2879115279,-97.7376806058,-1.44315207005
1602701744582499968,2317,1602701744582499968,,30.2879115279,-97.7376806058,-1.44315207005
1602701744642533517,2318,1602701744642533517,,30.2879110811,-97.737680631,-1.44315207005
1602701744682639622,2319,1602701744682639622,,30.2879107049,-97.7376810418,-1.44666755199
1602701744723281279,2320,1602701744723281279,,30.2879102594,-97.7376810692,-1.44683730602
1602701744763206998,2321,1602701744763206998,,30.287909806,-97.7376810971,-1.44734704494
1602701744803458860,2322,1602701744803458860,,30.2879093623,-97.7376811237,-1.44683730602
1602701744843687674,2323,1602701744843687674,,30.2879089184,-97.7376811508,-1.44734704494
1602701744863780712,2324,1602701744863780712,,30.2879089184,-97.7376811508,-1.44734704494
1602701744885517596,2325,1602701744885517596,,30.2879089184,-97.7376811508,-1.44734704494
1602701744925290993,2326,1602701744925290993,,30.2879084726,-97.7376811781,-1.44700706005
1602701744985579869,2327,1602701744985579869,,30.2879084166,-97.7376814109,-1.45015513897
1602701745026383306,2328,1602701745026383306,,30.287907972,-97.7376814397,-1.45066440105
1602701745066410656,2329,1602701745066410656,,30.2879075266,-97.7376814691,-1.45049464703
1602701745106549264,2330,1602701745106549264,,30.2879070831,-97.7376814976,-1.45100438595
1602701745146840972,2331,1602701745146840972,,30.2879066383,-97.737681527,-1.45117413998
1602701745167054904,2332,1602701745167054904,,30.2879066383,-97.737681527,-1.45117413998
1602701745188494853,2333,1602701745188494853,,30.2879066383,-97.737681527,-1.45117413998
1602701745238513533,2334,1602701745238513533,,30.2879061943,-97.737681556,-1.45117413998
1602701745278790932,2335,1602701745278790932,,30.2879059316,-97.7376813681,-1.45375561714
1602701745319062795,2336,1602701745319062795,,30.2879054869,-97.7376813979,-1.45358586311
1602701745359338586,2337,1602701745359338586,,30.2879050417,-97.7376814288,-1.45375561714
1602701745399653851,2338,1602701745399653851,,30.2879045975,-97.7376814594,-1.45409560204
1602701745460061064,2339,1602701745460061064,,30.2879041522,-97.7376814903,-1.45426535606
1602701745481502464,2340,1602701745481502464,,30.2879041522,-97.7376814903,-1.45426535606
1602701745541357562,2341,1602701745541357562,,30.2879037064,-97.737681521,-1.45392537117
1602701745581832950,2342,1602701745581832950,,30.2879034463,-97.737681751,-1.45628011227
1602701745621995687,2343,1602701745621995687,,30.2879030019,-97.7376817825,-1.45611035824
1602701745662701317,2344,1602701745662701317,,30.2879025584,-97.7376818144,-1.45594012737
1602701745703270589,2345,1602701745703270589,,30.287902114,-97.7376818462,-1.45644986629
1602701745763341672,2346,1602701745763341672,,30.2879016693,-97.737681878,-1.45661962032
1602701745784715382,2347,1602701745784715382,,30.2879016693,-97.737681878,-1.45661962032
1602701745824825333,2348,1602701745824825333,,30.2879012237,-97.7376819109,-1.45729911327
1602701745884922552,2349,1602701745884922552,,30.287901064,-97.7376817228,-1.45998764038
1602701745925135608,2350,1602701745925135608,,30.2879006192,-97.7376817563,-1.45964765549
1602701745965647882,2351,1602701745965647882,,30.2879001753,-97.7376817899,-1.45998764038
1602701746006008838,2352,1602701746006008838,,30.2878997315,-97.7376818241,-1.46032714844
1602701746066288776,2353,1602701746066288776,,30.287899287,-97.7376818576,-1.46015739441
1602701746087990000,2354,1602701746087990000,,30.287899287,-97.7376818576,-1.46015739441
1602701746127962315,2355,1602701746127962315,,30.2878988426,-97.7376818918,-1.46032714844
1602701746167951032,2356,1602701746167951032,,30.287898676,-97.7376821021,-1.46289455891
1602701746208260511,2357,1602701746208260511,,30.2878982317,-97.7376821377,-1.46306431293
1602701746268729621,2358,1602701746268729621,,30.2878977865,-97.7376821729,-1.46323406696
1602701746309090095,2359,1602701746309090095,,30.2878973417,-97.7376822083,-1.46272480488
1602701746349069072,2360,1602701746349069072,,30.2878968985,-97.7376822436,-1.46306431293
1602701746369393874,2361,1602701746369393874,,30.2878968985,-97.7376822436,-1.46306431293
1602701746390601481,2362,1602701746390601481,,30.2878968985,-97.7376822436,-1.46306431293
1602701746430367984,2363,1602701746430367984,,30.2878964545,-97.7376822792,-1.46323406696
1602701746470445745,2364,1602701746470445745,,30.2878964399,-97.7376824638,-1.46671187878
1602701746510987144,2365,1602701746510987144,,30.2878959955,-97.737682501,-1.46671187878
1602701746571179229,2366,1602701746571179229,,30.2878955521,-97.7376825378,-1.46654212475
1602701746611432614,2367,1602701746611432614,,30.2878951071,-97.7376825752,-1.46671187878
1602701746651881586,2368,1602701746651881586,,30.2878946622,-97.7376826128,-1.4672216177
1602701746693423975,2369,1602701746693423975,,30.2878946622,-97.7376826128,-1.4672216177
1602701746713353349,2370,1602701746713353349,,30.2878942175,-97.7376826501,-1.4672216177
1602701746733263624,2371,1602701746733263624,,30.2878942175,-97.7376826501,-1.4672216177
1602701746773450217,2372,1602701746773450217,,30.2878937789,-97.7376829167,-1.47044205666
1602701746813755509,2373,1602701746813755509,,30.287893334,-97.7376829561,-1.47095179558
1602701746854044249,2374,1602701746854044249,,30.2878928895,-97.7376829955,-1.47061228752
1602701746894602874,2375,1602701746894602874,,30.287892442,-97.7376830312,-1.46636557579
1602701746954931947,2376,1602701746954931947,,30.287892442,-97.7376830312,-1.46636557579
1602701746995013328,2377,1602701746995013328,,30.2878919981,-97.7376830651,-1.46194863319
1602701747037127545,2378,1602701747037127545,,30.287891107,-97.7376831217,-1.45345520973
1602701747057378512,2379,1602701747057378512,,30.287891107,-97.7376831217,-1.45345520973
1602701747117607855,2380,1602701747117607855,,30.287890797,-97.7376828996,-1.45276153088
1602701747158010241,2381,1602701747158010241,,30.2878903543,-97.7376829294,-1.4532712698
1602701747198272618,2382,1602701747198272618,,30.2878899081,-97.7376829599,-1.45310151577
1602701747258446130,2383,1602701747258446130,,30.2878894622,-97.7376829906,-1.45344102383
1602701747298713383,2384,1602701747298713383,,30.2878890177,-97.7376830208,-1.45361125469
1602701747320595552,2385,1602701747320595552,,30.2878890177,-97.7376830208,-1.45361125469
1602701747360141616,2386,1602701747360141616,,30.2878894214,-97.7376831858,-1.45791649818
1602701747420480473,2387,1602701747420480473,,30.2878889774,-97.7376832188,-1.45791649818
1602701747461202853,2388,1602701747461202853,,30.2878885321,-97.7376832492,-1.45468878746
1602701747501647175,2389,1602701747501647175,,30.2878880856,-97.7376832766,-1.45010256767
1602701747541756200,2390,1602701747541756200,,30.2878880856,-97.7376832766,-1.45010256767
1602701747601927232,2391,1602701747601927232,,30.2878876414,-97.7376833025,-1.44636511803
1602701747642581418,2392,1602701747642581418,,30.287886752,-97.7376833531,-1.44500613213
1602701747662843763,2393,1602701747662843763,,30.287886752,-97.7376833531,-1.44500613213
1602701747704659119,2394,1602701747704659119,,30.2878863047,-97.7376833793,-1.44517636299
1602701747744497516,2395,1602701747744497516,,30.2878858616,-97.7376834059,-1.44602560997
1602701747805261312,2396,1602701747805261312,,30.2878849306,-97.7376832646,-1.44921183586
1602701747845462598,2397,1602701747845462598,,30.2878849306,-97.7376832646,-1.44921183586
1602701747885407496,2398,1602701747885407496,,30.2878844855,-97.737683293,-1.44955134392
1602701747925692788,2399,1602701747925692788,,30.2878840405,-97.7376833219,-1.44989132881
1602701747966012198,2400,1602701747966012198,,30.287883596,-97.7376833507,-1.45006108284
1602701747986156932,2401,1602701747986156932,,30.287883596,-97.7376833507,-1.45006108284
1602701748007787964,2402,1602701748007787964,,30.2878831504,-97.7376833789,-1.44989132881
1602701748047907622,2403,1602701748047907622,,30.2878827025,-97.7376834043,-1.44547438622
1602701748087957704,2404,1602701748087957704,,30.287882752,-97.737683638,-1.44455909729
